geneId,geneName,numEntries
3736,KCNA1,14
3662,IRF4,14
3566,IL4R,14
27130,INVS,14
3913,LAMB2,14
79944,L2HGDH,14
26119,LDLRAP1,14
4507,MTAP,14
79258,MMEL1,14
64421,DCLRE1C,14
1719,DHFR,14
1586,CYP17A1,14
1540,CYLD,14
352909,DNAAF3,14
1738,DLD,14
10059,DNM1L,14
54808,DYM,14
1146,CHRNG,14
1144,CHRND,14
1138,CHRNA5,14
55835,CENPJ,14
1021,CDK6,14
1181,CLCN2,14
1188,CLCNKB,14
8192,CLPP,14
1289,COL5A1,14
54805,CNNM2,14
1297,COL9A1,14
5205,ATP8B1,14
274,BIN1,14
776,CACNA1D,14
761,CA3,14
6356,CCL11,14
440193,CCDC88C,14
60529,ALX4,14
240,ALOX5,14
51816,ADA2,14
118,ADD1,14
8456,FOXN1,14
2538,G6PC,14
51083,GAL,14
2108,ETFA,14
2052,EPHX1,14
2034,EPAS1,14
2187,FANCB,14
2160,F11,14
283120,H19,14
2952,GSTT1,14
138050,HGSNAT,14
26275,HIBCH,14
29925,GMPPB,14
2646,GCKR,14
2733,GLE1,14
2702,GJA5,14
143187,VTI1A,14
56652,TWNK,14
7516,XRCC2,14
6710,SPTB,14
6720,SREBF1,14
6608,SMO,14
6591,SNAI2,14
7252,TSHB,14
4982,TNFRSF11B,14
7185,TRAF1,14
54790,TET2,14
7043,TGFB3,14
79583,TMEM231,14
63892,THADA,13
55145,THAP1,13
79600,TCTN1,13
7148,TNXB,13
54795,TRPM4,13
6616,SNAP25,13
4091,SMAD6,13
79644,SRD5A3,13
200734,SPRED2,13
23384,SPECC1L,13
55812,SPATA7,13
50964,SOST,13
6898,TAT,13
23224,SYNE2,13
51204,TACO1,13
6736,SRY,13
65125,WNK1,13
7325,UBE2E2,13
7414,VCL,13
81839,VANGL1,13
2746,GLUD1,13
348980,HCN1,13
2990,GUSB,13
3032,HADHB,13
2162,F13A1,13
9415,FADS2,13
2188,FANCF,13
2077,ERF,13
11160,ERLIN2,13
2253,FGF8,13
2324,FLT4,13
126,ADH1C,13
2334,AFF2,13
212,ALAS2,13
64240,ABCG5,13
34,ACADM,13
2,A2M,13
79722,ANKRD55,13
118429,ANTXR2,13
435,ASL,13
411,ARSB,13
147372,CCBE1,13
8573,CASK,13
843,CASP10,13
157657,C8orf37,13
720,C4A,13
330,BIRC3,13
604,BCL6,13
545,ATR,13
51761,ATP8A2,13
1374,CPT1A,13
1261,CNGA3,13
57511,COG6,13
80781,COL18A1,13
965,CD58,13
898,CCNE1,13
1073,CFL2,13
1121,CHM,13
9775,EIF4A3,13
79813,EHMT1,13
114327,EFHC1,13
8701,DNAH11,13
27019,DNAI1,13
4548,MTR,13
